id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
508767,2016,MARZO,VIERNES,2016-03-11,0,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.568658625,-58.505231969,1
509043,2016,ABRIL,VIERNES,2016-04-29,2,Robo,Robo automotor,SI,NO,VILLA URQUIZA,12,-34.5696682719999,-58.504440636,1
509073,2016,ABRIL,DOMINGO,2016-04-24,19,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5694189879999,-58.504058755,1
512100,2016,MARZO,MIERCOLES,2016-03-09,18,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5694189879999,-58.504058755,1
512163,2016,MARZO,DOMINGO,2016-03-13,14,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.567310084,-58.5030623919999,1
512304,2016,ABRIL,VIERNES,2016-04-22,23,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5688541279999,-58.5008319309999,1
513372,2016,DICIEMBRE,MIERCOLES,2016-12-07,19,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.569390891,-58.501388463,1
513780,2016,FEBRERO,DOMINGO,2016-02-28,23,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5745557669999,-58.496218079,1
513975,2016,MARZO,SABADO,2016-03-05,10,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.57346323,-58.501069526,1
514038,2016,MARZO,MARTES,2016-03-08,18,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.566617117,-58.5002033019999,1
514050,2016,MARZO,JUEVES,2016-03-03,22,Robo,Robo automotor,SI,NO,VILLA URQUIZA,12,-34.56752721,-58.500109105,1
514134,2016,MARZO,MARTES,2016-03-08,10,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.571949146,-58.498317065,1
514137,2016,MARZO,VIERNES,2016-03-04,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.570289776,-58.498179044,1
514179,2016,MARZO,LUNES,2016-03-07,17,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5762332809999,-58.497490328,1
514380,2016,ABRIL,MIERCOLES,2016-04-27,19,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.570289418,-58.4980984059999,1
514410,2016,ABRIL,LUNES,2016-04-25,19,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.572905321,-58.4975245379999,1
514467,2016,ABRIL,VIERNES,2016-04-29,22,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.572332284,-58.496452083,1
516339,2016,DICIEMBRE,MIERCOLES,2016-12-14,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5746099319999,-58.4983502389999,1
516384,2016,DICIEMBRE,DOMINGO,2016-12-18,16,Robo,Robo automotor,SI,NO,VILLA URQUIZA,12,-34.572905321,-58.497524539,1
516921,2016,MARZO,MIERCOLES,2016-03-09,10,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.577389437,-58.496065249,1
516981,2016,MARZO,VIERNES,2016-03-11,13,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.573791108,-58.494972275,1
517044,2016,MARZO,MARTES,2016-03-01,15,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.579470955,-58.494315554,1
517164,2016,ABRIL,DOMINGO,2016-04-17,4,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5749540269999,-58.4949114249999,1
517203,2016,ABRIL,LUNES,2016-04-25,19,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.571175242,-58.4942140009999,1
517206,2016,ABRIL,DOMINGO,2016-04-24,14,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.571175242,-58.4942140009999,1
518928,2016,DICIEMBRE,LUNES,2016-12-05,18,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.580433125,-58.494043183,1
518967,2016,DICIEMBRE,DOMINGO,2016-12-04,20,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.574147474,-58.493496496,1
519006,2016,DICIEMBRE,SABADO,2016-12-10,8,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5771335549999,-58.4926152529999,1
519639,2016,FEBRERO,LUNES,2016-02-29,0,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.564667361,-58.488018395,1
519951,2016,MARZO,JUEVES,2016-03-10,2,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.563218234,-58.493568712,1
519969,2016,MARZO,VIERNES,2016-03-04,18,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5681420559999,-58.493419861,1
520011,2016,MARZO,MARTES,2016-03-01,11,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5705849719999,-58.4931139729999,1
520014,2016,MARZO,JUEVES,2016-03-03,20,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5705849719999,-58.4931139729999,1
520059,2016,MARZO,SABADO,2016-03-12,20,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.573472076,-58.492364191,1
520062,2016,MARZO,SABADO,2016-03-05,6,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5756142939999,-58.4922458579999,1
520071,2016,MARZO,VIERNES,2016-03-11,16,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572003289,-58.492072391,1
520101,2016,MARZO,VIERNES,2016-03-04,21,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.574238946,-58.491719523,1
520146,2016,MARZO,MARTES,2016-03-08,20,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5707862789999,-58.491372154,1
520209,2016,MARZO,SABADO,2016-03-05,21,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5719323929999,-58.490538483,1
520212,2016,MARZO,SABADO,2016-03-05,20,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5719323929999,-58.490538483,1
520263,2016,MARZO,JUEVES,2016-03-10,19,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.563152623,-58.4896869299999,1
